コンテンツ,動画のタイトル,動画公開時刻,長さ,エンゲージ ビュー,平均再生率（%） (%),視聴を継続 (%),ユニーク視聴者数,視聴者あたりの平均視聴回数,新しい視聴者数,リピーター,ライトな視聴者,コアな視聴者,ハイプ,ハイプポイント,登録者減少数,登録者増加数,高評価数,低評価数,高評価率（低評価比） (%),共有数,コメントの追加回数,売上合計 (JPY),注文数,承認済みのコミッション (JPY),保留中のコミッション (JPY),返却された商品 (JPY),YouTube Premium の視聴回数,YouTube Premium 総再生時間（単位: 時間）,再生リストの総再生時間（単位: 時間）,再生リストからの視聴,再生リスト開始あたりの再生回数,ストリーミング時間,設定されているリマインダーの数,チャット メッセージ,リアクション,投稿のチャンネル登録者,リミックス数,リミックス視聴回数,コミュニティ クリップの視聴回数,コミュニティ クリップから発生した総再生時間（単位は時間）,カードのクリック数,カードの表示回数,カード表示 1 回あたりのクリック数 (%),カードのティーザーのクリック数,カード ティーザーの表示回数,カード ティーザー表示 1 回あたりのクリック数 (%),終了画面要素のクリック数,終了画面要素の表示回数,終了画面要素のクリック率 (%),視聴回数,総再生時間（単位: 時間）,チャンネル登録者,平均視聴時間,インプレッション数,インプレッションのクリック率 (%)
合計,,,,1939978,125.18,38.26,0,0,0,0,0,0,0,0,442,1031,30347,2740,91.72,122,130,0,0,0,0,0,26285,93.7551,0,0,0,0,0,0,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,4368256,12590.2109,589,0:00:21,1853505,2.58
nhwseGbYqlo,2401曲だけキラキラ広告_縦,,15,577146,148.88,97.95,,,,,,,0,0,1,6,10371,999,91.21,7,9,,,,,,26,0.1381,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,586085,3585.1297,5,0:00:22,20842,4.95
laePoS1f3pA,2401曲だけ和風ボカロ広告_横,,16,327497,119.95,100,,,,,,,0,0,0,3,1161,74,94.01,22,3,,,,,,5,0.0529,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,2384226,2826.2606,3,0:00:19,4315,10.89
h1k2PzG7dRU,広告_推しの曲_縦,,24,149466,120.64,90.47,,,,,,,0,0,1,1,5438,187,96.68,3,0,,,,,,2,0.0038,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,157482,1206.102,0,0:00:28,4040,3.14
9Ev1x4-S7fc,横動画 説明なし,,15,82257,113.36,,,,,,,,0,0,0,0,338,52,86.67,5,0,,,,,,1,0.0042,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,83360,390.0689,0,0:00:17,1120,3.04
7NHRxaf9Ji4,横動画 説明あり,,15,79427,98.68,,,,,,,,0,0,0,1,23,5,82.14,0,2,,,,,,2,0.0046,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,79641,327.0087,1,0:00:14,255,3.14
Q6Q7jK7PbU4,広告_インフルエンサー_テキストver縦,,21,58180,142.7,33.33,,,,,,,0,0,0,0,2420,291,89.27,0,6,,,,,,4,0.0096,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,59541,485.538,0,0:00:29,1209,8.85
RYRkcaNuWc8,2401曲デザイン和風ボカロ広告_横,,16,56185,114.48,100,,,,,,,0,0,0,0,340,14,96.05,14,2,,,,,,7,0.0526,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,165303,371.7195,0,0:00:18,1493,12.59
w1h6bU_U1rM,説明あり_推しの曲_広告,"Jan 5, 2024",15,55183,168.17,79.41,,,,,,,0,0,0,1,2177,115,94.98,1,1,,,,,,9,0.0247,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,196453,447.2431,1,0:00:25,1408,2.2
JvrBGXIvRdg,広告動画 説明あり,,15,53471,226.31,50,,,,,,,0,0,0,1,2012,279,87.82,1,3,,,,,,0,0,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,53471,504.2167,1,0:00:33,3307,3.18
rJTNGhDkISY,広告_インフルエンサー_テキストver横,,21,38759,93,,,,,,,,0,0,0,0,3,0,100,2,0,,,,,,3,0.0056,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,40078,212.4812,0,0:00:19,0,
57uzmWlMGsw,【ネクタリン - マカロニえんぴつ】たいこで叩いてみた｜たいこでヒットソング#shorts #ネクタリン #マカロニえんぴつ #天才てれびくん #たいこでヒットソング,"Feb 22, 2024",18,33190,98.52,60.64,,,,,,,0,0,4,104,316,30,91.33,8,8,,,,,,3188,11.6142,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,47851,166.5989,100,0:00:17,403205,4.3
g_gxE7HCfmM,2401曲だけダーク広告_縦,,15,29064,157.3,97.38,,,,,,,0,0,1,2,1195,73,94.24,5,6,,,,,,10,0.0289,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,30196,191.078,1,0:00:23,1997,4.46
YakYSaOeN3w,広告動画 説明なし,,15,22612,164.64,0,,,,,,,0,0,1,1,726,78,90.3,0,1,,,,,,2,0.0083,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,23574,155.4872,0,0:00:24,419,4.06
caYQRfa6YRg,横動画 アイドル,,16,12327,67.76,,,,,,,,0,0,1,7,3,0,100,1,1,,,,,,10,0.0303,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,12327,34.8392,6,0:00:10,3,0
vF60NXg9B90,2401曲デザインキラキラ広告_横,,16,11938,96.58,100,,,,,,,0,0,0,0,69,3,95.83,0,0,,,,,,1,0.0082,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,13812,52.844,0,0:00:15,28,14.29
pzfR85klfn8,推しの曲_音ゲー好きの私広告,,25,9427,128.87,,,,,,,,0,0,0,0,193,28,87.33,1,1,,,,,,0,0,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,9427,84.368,0,0:00:32,93,6.45
PtpW_kmfcAQ,広告_全曲無料_縦,"Dec 21, 2023",18,7224,268.35,22.08,,,,,,,0,0,0,0,329,26,92.68,0,0,,,,,,3,0.0074,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,7224,96.9267,0,0:00:48,216,6.48
C51njYU9gzA,2401曲だけダーク広告_横,,16,6018,104.05,100,,,,,,,0,0,0,0,71,1,98.61,1,0,,,,,,3,0.008,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,7895,28.8986,0,0:00:16,1685,0.18
QFDTR-yaOXw,推しの曲_BGMポップ_広告,,24,5871,167.49,99.39,,,,,,,0,0,0,0,141,11,92.76,0,0,,,,,,0,0,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,6350,65.8539,0,0:00:40,92,0
A78cDNvKI2o,広告_インフルエンサー_テキストver縦,,21,5339,91.98,,,,,,,,0,0,0,0,2,0,100,0,0,,,,,,0,0,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,5612,29.2176,0,0:00:19,1,0
kIGCMaTX6AQ,【ウィーアー！ - きただにひろし】たいこで弾いてみた｜メロディ#shorts #ウィーアー  #きただにひろし #たいこでヒットソング,"Nov 26, 2023",16,5276,97.63,44.43,,,,,,,0,0,1,18,46,7,86.79,0,1,,,,,,352,1.2994,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,5665,22.9863,17,0:00:15,7568,4.28
l_nZpcGFFc4,【最高到達点 - SEKAI NO OWARI】たいこで叩いてみた｜メロディ#shorts #最高到達点 #sekainoowari  #たいこでヒットソング,"Jan 27, 2024",18,5258,80.19,46.37,,,,,,,0,0,1,7,31,4,88.57,0,1,,,,,,287,1.0048,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,5893,21.2617,6,0:00:14,25331,4.15
QvN0xh2LKbk,【夢をかなえてドラえもん - mao】たいこで弾いてみた｜メロディ#shorts #夢をかなえてドラえもん  #mao #ドラえもん  #たいこでヒットソング,"Dec 4, 2023",16,4797,85.93,40.2,,,,,,,0,0,2,14,28,6,82.35,2,0,,,,,,254,0.9308,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,5206,18.4192,12,0:00:13,12819,1.37
nZ_6-kaml1U,【強風オールバック - ゆこぴ】たいこで弾いてみた｜メロディ#shorts #強風オールバック #ゆこぴ  #たいこでヒットソング,"Dec 6, 2023",16,4780,91.84,46.38,,,,,,,0,0,2,12,27,10,72.97,2,3,,,,,,214,0.8002,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,5050,19.5697,10,0:00:14,6972,2.83
R_SIbdQTXtA,【KING - Kanaria】たいこで弾いてみた｜メロディ#shorts #king  #kanaria  #たいこでヒットソング,"Nov 26, 2023",16,4774,89.73,42.03,,,,,,,0,0,0,9,33,5,86.84,0,0,,,,,,322,1.9299,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,5061,19.1113,9,0:00:14,6274,2.01
68r88DeCDbA,【ビートdeトーヒ - ハマいく】たいこで弾いてみた｜メロディ#shorts #ビートdeトーヒ #ハマいく #たいこでヒットソング,"Nov 26, 2023",16,4641,102.79,40.47,,,,,,,0,0,2,10,30,2,93.75,1,2,,,,,,403,1.5851,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,4959,21.3028,8,0:00:16,8742,1.98
SPYspKwrQ_c,【私は最強 - ウタ(Ado)】たいこで弾いてみた｜メロディ#shorts #私は最強 #ウタ #ado #たいこでヒットソング,"Nov 25, 2023",16,4586,86.05,43.99,,,,,,,0,0,3,12,38,6,86.36,0,2,,,,,,277,1.0476,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,4906,17.6193,9,0:00:13,9629,2.61
tPNrXcIY_l4,【アンパンマンのマーチ - ドリーミング】たいこで弾いてみた｜メロディ#shorts #アンパンマンのマーチ #ドリーミング #それいけアンパンマン #たいこでヒットソング,"Dec 4, 2023",16,4553,105.32,35.89,,,,,,,0,0,2,10,41,8,83.67,2,0,,,,,,320,1.7224,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,5032,21.4108,8,0:00:16,18729,1.52
OUorqUgQfMc,【青と夏 - Mrs. GREEN APPLE】たいこで弾いてみた｜メロディ#shorts #青と夏 #mrsgreenapple  #たいこでヒットソング,"Nov 27, 2023",16,4536,84.47,40.16,,,,,,,0,0,3,11,27,5,84.38,0,0,,,,,,391,1.2729,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,4855,17.0986,8,0:00:13,9015,2.55
EyVyOgOq1ss,【生きる - 水野あつ】たいこで弾いてみた｜メロディ#shorts #生きる #水野あつ #たいこでヒットソング,"Dec 12, 2023",16,4432,84.22,46.57,,,,,,,0,0,2,7,26,8,76.47,0,4,,,,,,198,0.7201,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,4710,16.6757,5,0:00:13,3772,1.33
66LOoNp87Lk,【可愛くてごめん - HoneyWorks】たいこで弾いてみた｜メロディ#shorts #可愛くてごめん #honeyworks  #たいこでヒットソング,"Nov 25, 2023",16,4129,100.79,42.01,,,,,,,0,0,1,9,38,5,88.37,0,0,,,,,,280,1.0422,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,4384,18.5541,8,0:00:16,8408,2.2
erq7vCtqNs4,【人マニア - 原口沙輔】たいこで叩いてみた｜メロディ#shorts #人マニア #原口沙輔 #たいこでヒットソング,"Dec 30, 2023",18,4126,81.31,55.46,,,,,,,0,0,0,11,35,6,85.37,0,3,,,,,,185,0.6734,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,4515,16.8681,11,0:00:14,8376,4.14
jyxRJWOI4-Q,【ドラえもん - 星野源】たいこで弾いてみた｜メロディ#shorts #ドラえもん  #星野源 #たいこでヒットソング,"Dec 4, 2023",16,3987,88.11,35.89,,,,,,,0,0,2,8,24,6,80,0,0,,,,,,370,1.4465,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,4282,15.6842,6,0:00:14,9990,2.25
FIV08jq2lFc,【ヴァンパイア - DECO*27】たいこで弾いてみた｜メロディ#shorts #ヴァンパイア #deco27  #たいこでヒットソング,"Nov 27, 2023",16,3805,85.73,38.84,,,,,,,0,0,3,5,25,13,65.79,0,1,,,,,,256,0.8741,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,4025,14.5466,2,0:00:13,5709,1.82
296IykP2aCE,【キセキ - GReeeeN】たいこで弾いてみた｜メロディ#shorts #キセキ #greeeen  #たいこでヒットソング,"Dec 14, 2023",16,3702,85.97,42.2,,,,,,,0,0,2,4,21,1,95.45,1,0,,,,,,269,1.1173,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3973,14.2142,2,0:00:13,6229,1.88
IT9jcGy1t3A,【ファンサ - HoneyWorks】たいこで弾いてみた｜メロディ#shorts #ファンサ #honeyworks  #たいこでヒットソング,"Dec 13, 2023",16,3681,102.65,40.47,,,,,,,0,0,1,3,10,6,62.5,1,0,,,,,,230,1.1559,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3945,16.8824,2,0:00:16,5747,0.96
zjCEG29WeH4,【怪物 - YOASOBI】たいこで弾いてみた｜メロディ#shorts #怪物 #yoasobi  #たいこでヒットソング,"Nov 24, 2023",16,3662,92.02,34.24,,,,,,,0,0,4,15,34,5,87.18,1,1,,,,,,342,1.3863,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3888,15.0413,11,0:00:14,6349,1.59
ptYRm3NkvuI,【新時代 - ウタ(Ado)】たいこで弾いてみた｜メロディ#shorts #新時代 #ウタ #ado  #たいこでヒットソング,"Nov 29, 2023",16,3413,85.66,39.66,,,,,,,0,0,4,11,19,3,86.36,1,0,,,,,,230,0.7387,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3600,13.0327,7,0:00:13,5341,2.1
eh0FfkYERZs,【ダーリン - 須田景凪】ピアノで弾いてみた｜メロディ#shorts #ダーリン #須田景凪 #たいこでヒットソング,"Nov 21, 2023",16,3391,96.1,36.95,,,,,,,0,0,1,6,34,6,85,1,1,,,,,,345,1.0688,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3732,14.5812,5,0:00:15,7070,1.88
NprNBWwU5Lg,2401曲だけキラキラ広告_横,,16,3268,143.97,,,,,,,,0,0,0,0,66,6,91.67,0,1,,,,,,0,0,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3268,20.9104,0,0:00:23,183,2.19
uUGPrQ2yYBg,【群青 - YOASOBI】ピアノで弾いてみた｜メロディ#shorts #群青 #yoasobi  #たいこでヒットソング,"Nov 21, 2023",16,3253,81.06,37.1,,,,,,,0,0,1,9,20,6,76.92,1,1,,,,,,360,1.1777,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3584,11.81,8,0:00:12,6764,3.31
fmjVyhJFih4,【ビリミリオン - 優里】たいこで弾いてみた｜メロディ#shorts #ビリミリオン #優里 #たいこでヒットソング,"Dec 6, 2023",16,3247,89.64,41.67,,,,,,,0,0,0,9,27,4,87.1,0,1,,,,,,221,0.9169,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3483,13.0115,9,0:00:14,5085,2.2
41d5o0FoiNE,【青春チョコレート - すとぷり】たいこで叩いてみた｜たいこでヒットソング#shorts #青春チョコレート #すとぷり #バレンタイン #ハッピーバレンタイン #たいこでヒットソング,"Feb 14, 2024",18,3217,77.94,45.15,,,,,,,0,0,1,8,31,7,81.58,0,4,,,,,,97,0.3198,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3685,12.6817,7,0:00:14,9634,3.92
lGuAJwgnmAQ,【オトナブルー - 新しい学校のリーダーズ】たいこで弾いてみた｜メロディ#shorts #オトナブルー #新しい学校のリーダーズ #たいこでヒットソング,"Nov 24, 2023",16,3202,97.35,33.1,,,,,,,0,0,1,12,33,3,91.67,0,4,,,,,,193,0.7045,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3422,13.9114,11,0:00:15,5976,2.56
bCp88Q76Ihc,【ワタリドリ - [Alexandros]】ピアノで弾いてみた｜メロディ#shorts #ワタリドリ #alexandros  #たいこでヒットソング,"Nov 17, 2023",16,3193,77.24,41.91,,,,,,,0,0,0,5,22,5,81.48,0,1,,,,,,256,0.8679,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3560,11.0707,5,0:00:12,11734,1.79
SYUtcrK5Q7M,【唱 - Ado】たいこで叩いてみた｜メロディ#shorts #唱 #ado  #たいこでヒットソング,"Dec 31, 2023",18,3162,76.56,42.82,,,,,,,0,0,0,9,30,5,85.71,1,1,,,,,,282,1.0972,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3450,12.186,9,0:00:13,6029,2.41
dAnG1olt_a8,広告_シナリオ1~インフルエンサー_人ver横,,18,3157,92.92,,,,,,,,0,0,0,0,2,0,100,0,0,,,,,,0,0,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3200,14.751,0,0:00:16,0,
OdmI-9ziZoQ,【粛聖!!ロリ神レクイエム☆ - しぐれうい】たいこで叩いてみた｜メロディ#shorts #粛聖ロリ神レクイエム #しぐれうい #たいこでヒットソング,"Feb 1, 2024",18,3060,72.01,45.87,,,,,,,0,0,0,6,26,2,92.86,1,1,,,,,,176,0.5768,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3648,11.2109,6,0:00:12,9898,2.88
8w6kIMzlbh8,広告_シナリオ1~インフルエンサー_人メロディver縦,,18,3032,111.42,0,,,,,,,0,0,0,0,191,18,91.39,0,0,,,,,,0,0,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3900,17.2981,0,0:00:20,34,8.82
CUMdgZ0ZdKs,【スキスキ星人 - すとぷり】たいこで叩いてみた｜たいこでヒットソング#shorts #スキスキ星人 #すとぷり #たいこでヒットソング,"Feb 6, 2024",18,3006,76.53,39.75,,,,,,,0,0,1,9,49,3,94.23,0,2,,,,,,147,1.579,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3626,11.6892,8,0:00:13,11255,4.55
1U6UQ93b3V0,【紅蓮華 - LiSA】たいこで弾いてみた｜メロディ#shorts #紅蓮華 #lisa #鬼滅の刃 #たいこでヒットソング,"Nov 28, 2023",16,2964,79.1,37.57,,,,,,,0,0,0,5,27,3,90,1,1,,,,,,176,0.6323,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3207,10.4697,5,0:00:12,7445,1.73
9vMHYGSWKsM,【1・2・3 - After the Rain 】たいこで弾いてみた｜メロディ#shorts #123  #After the Rain #そらる #まふまふ #たいこでヒットソング,"Dec 11, 2023",16,2937,78.16,39.88,,,,,,,0,0,2,7,28,6,82.35,0,1,,,,,,299,0.9918,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3241,10.2875,5,0:00:12,11636,2.73
fBv4Glu0dTc,2408_横動画 説明あり_広告,,15,2921,97.06,100,,,,,,,0,0,0,0,0,0,,0,0,,,,,,0,0,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3061,12.0689,0,0:00:14,0,
mdnO1Ykn4ho,【マリーゴールド - あいみょん】たいこで弾いてみた｜メロディ#shorts #マリーゴールド #あいみょん #たいこでヒットソング,"Nov 25, 2023",16,2913,81.47,35.22,,,,,,,0,0,0,10,22,5,81.48,0,1,,,,,,284,0.93,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3148,10.5995,10,0:00:13,6570,1.6
n8SCbvJcEpk,【にんげんっていいな - 中島 義実】たいこで叩いてみた｜メロディ#shorts #にんげんっていいな #中島義実 #たいこでヒットソング,"Jan 4, 2024",18,2907,74.66,45.08,,,,,,,0,0,1,8,25,4,86.21,0,0,,,,,,181,0.6908,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3215,10.9355,7,0:00:13,8629,1.85
D1ycmYy2yH0,【第ゼロ感 - 10-FEET】たいこで叩いてみた｜メロディ#shorts #第ゼロ感 #10feet #スラムダンク #slamdunk #たいこでヒットソング,"Jan 10, 2024",18,2854,75.63,39.81,,,,,,,0,0,1,3,26,4,86.67,0,0,,,,,,194,0.8172,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3133,10.8695,2,0:00:13,7668,2.26
wQR8-ndAS18,【なにもの - King & Prince】ピアノで弾いてみた｜メロディ#shorts #なにもの #kingandprince  #たいこでヒットソング,"Nov 23, 2023",16,2847,94.62,36.99,,,,,,,0,0,2,4,17,2,89.47,0,1,,,,,,205,0.7191,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3128,12.062,2,0:00:15,6186,1.75
k2LxEdr_49Y,【僕らまた - SG】たいこで叩いてみた｜メロディ#shorts #僕らまた #sg  #たいこでヒットソング,"Dec 28, 2023",18,2794,75.21,39.08,,,,,,,0,0,1,6,22,2,91.67,0,0,,,,,,159,0.5563,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,3151,10.6169,5,0:00:13,9579,4.55
C2BSYPqelQQ,【スターマイン - Da-iCE】たいこで叩いてみた｜メロディ#shorts #スターマイン #daice  #たいこでヒットソング,"Dec 21, 2023",18,2723,84.37,44.59,,,,,,,0,0,1,6,15,2,88.24,0,4,,,,,,248,0.9407,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,2973,11.5548,5,0:00:15,5928,2.65
NdxqVSTYn7M,【マーシャル・マキシマイザー - 柊マグネタイト】たいこで弾いてみた｜メロディ#shorts #マーシャルマキシマイザー #柊マグネタイト #たいこでヒットソング,"Nov 28, 2023",16,2715,85,37.74,,,,,,,0,0,1,5,11,10,52.38,0,5,,,,,,247,1.262,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,2893,10.3101,4,0:00:13,5635,2.34
wf_0028MnWo,【いばら - Ado】たいこで弾いてみた｜メロディ#shorts #いばら #ado  #たいこでヒットソング,"Dec 11, 2023",16,2706,75.78,37.56,,,,,,,0,0,0,4,19,4,82.61,0,0,,,,,,223,0.6645,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,2923,9.2016,4,0:00:12,5406,2.31
KCfpJO7DOGE,【残酷な天使のテーゼ - 高橋洋子】たいこで叩いてみた｜メロディ#shorts #残酷な天使のテーゼ #高橋洋子 #たいこでヒットソング,"Jan 3, 2024",18,2622,79.36,36.52,,,,,,,0,0,3,13,25,5,83.33,1,3,,,,,,279,1.0122,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,2923,10.4728,10,0:00:14,8340,2.16
qQwuzVqhad4,【死ぬな！ - こっちのけんと】たいこで叩いてみた｜メロディ#shorts #死ぬな #こっちのけんと #たいこでヒットソング,"Dec 22, 2023",18,2610,68.14,47.11,,,,,,,0,0,0,4,17,4,80.95,0,0,,,,,,145,0.4789,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,2833,8.9625,4,0:00:12,4699,2.36
x-9N7xhs4v4,【アイドル - YOASOBI】ピアノで弾いてみた｜メロディ#shorts #アイドル #yoasobi  #たいこでヒットソング,"Nov 21, 2023",16,2603,86.13,35.03,,,,,,,0,0,0,5,25,8,75.76,0,0,,,,,,217,0.8109,,,,,0,,,0,,,0,0,0,0,,0,0,,0,0,,2811,10.0139,5,0:00:13,4439,3.24
